"filename", "language", "JavaScript", "JSON", "YAML", "HTML", "comment", "blank", "total"
"c:\Users\Phil\Desktop\zazie bot\Collection\index.js", "JavaScript", 3, 0, 0, 0, 0, 2, 5
"c:\Users\Phil\Desktop\zazie bot\Error.js", "JavaScript", 7, 0, 0, 0, 0, 1, 8
"c:\Users\Phil\Desktop\zazie bot\ExtendedMessage.js", "JavaScript", 25, 0, 0, 0, 0, 4, 29
"c:\Users\Phil\Desktop\zazie bot\bot-api.ejs", "HTML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\Phil\Desktop\zazie bot\botconfig.json", "JSON", 0, 50, 0, 0, 0, 47, 97
"c:\Users\Phil\Desktop\zazie bot\commands\antiraid\config.js", "JavaScript", 147, 0, 0, 0, 0, 46, 193
"c:\Users\Phil\Desktop\zazie bot\commands\antiraid\unbanall.js", "JavaScript", 23, 0, 0, 0, 0, 1, 24
"c:\Users\Phil\Desktop\zazie bot\commands\antiraid\whitelist.js", "JavaScript", 90, 0, 0, 0, 0, 23, 113
"c:\Users\Phil\Desktop\zazie bot\commands\config\disableinvitechannel.js", "JavaScript", 21, 0, 0, 0, 1, 5, 27
"c:\Users\Phil\Desktop\zazie bot\commands\config\disableleavechannel.js", "JavaScript", 21, 0, 0, 0, 1, 5, 27
"c:\Users\Phil\Desktop\zazie bot\commands\config\disablewelcome.js", "JavaScript", 21, 0, 0, 0, 1, 5, 27
"c:\Users\Phil\Desktop\zazie bot\commands\config\modsettings.js", "JavaScript", 37, 0, 0, 0, 1, 1, 39
"c:\Users\Phil\Desktop\zazie bot\commands\config\setinvitechannel.js", "JavaScript", 154, 0, 0, 0, 1, 10, 165
"c:\Users\Phil\Desktop\zazie bot\commands\config\setinvitemessage.js", "JavaScript", 157, 0, 0, 0, 1, 7, 165
"c:\Users\Phil\Desktop\zazie bot\commands\config\setmessagechannel.js", "JavaScript", 110, 0, 0, 0, 1, 5, 116
"c:\Users\Phil\Desktop\zazie bot\commands\config\setstrikechannel.js", "JavaScript", 110, 0, 0, 0, 1, 5, 116
"c:\Users\Phil\Desktop\zazie bot\commands\config\setupmoderation.js", "JavaScript", 234, 0, 0, 0, 1, 79, 314
"c:\Users\Phil\Desktop\zazie bot\commands\config\setwelcomechannel.js", "JavaScript", 110, 0, 0, 0, 0, 4, 114
"c:\Users\Phil\Desktop\zazie bot\commands\config\setwelcomemessage.js", "JavaScript", 104, 0, 0, 0, 0, 6, 110
"c:\Users\Phil\Desktop\zazie bot\commands\core\listen.js", "JavaScript", 31, 0, 0, 0, 0, 5, 36
"c:\Users\Phil\Desktop\zazie bot\commands\core\mainhelp.js", "JavaScript", 235, 0, 0, 0, 23, 26, 284
"c:\Users\Phil\Desktop\zazie bot\commands\core\playing.js", "JavaScript", 27, 0, 0, 0, 0, 4, 31
"c:\Users\Phil\Desktop\zazie bot\commands\core\stream.js", "JavaScript", 28, 0, 0, 0, 0, 5, 33
"c:\Users\Phil\Desktop\zazie bot\commands\core\watch.js", "JavaScript", 34, 0, 0, 0, 0, 7, 41
"c:\Users\Phil\Desktop\zazie bot\commands\economy\bal.js", "JavaScript", 48, 0, 0, 0, 0, 11, 59
"c:\Users\Phil\Desktop\zazie bot\commands\economy\banklb.js", "JavaScript", 66, 0, 0, 0, 0, 17, 83
"c:\Users\Phil\Desktop\zazie bot\commands\economy\bankrob.js", "JavaScript", 283, 0, 0, 0, 0, 52, 335
"c:\Users\Phil\Desktop\zazie bot\commands\economy\beg.js", "JavaScript", 64, 0, 0, 0, 0, 12, 76
"c:\Users\Phil\Desktop\zazie bot\commands\economy\buy.js", "JavaScript", 647, 0, 0, 0, 0, 202, 849
"c:\Users\Phil\Desktop\zazie bot\commands\economy\changedegree.js", "JavaScript", 56, 0, 0, 0, 0, 12, 68
"c:\Users\Phil\Desktop\zazie bot\commands\economy\changejob.js", "JavaScript", 55, 0, 0, 0, 0, 12, 67
"c:\Users\Phil\Desktop\zazie bot\commands\economy\cutlock.js", "JavaScript", 96, 0, 0, 0, 0, 24, 120
"c:\Users\Phil\Desktop\zazie bot\commands\economy\daily.js", "JavaScript", 47, 0, 0, 0, 0, 10, 57
"c:\Users\Phil\Desktop\zazie bot\commands\economy\degree.js", "JavaScript", 564, 0, 0, 0, 0, 127, 691
"c:\Users\Phil\Desktop\zazie bot\commands\economy\degreeprogress.js", "JavaScript", 129, 0, 0, 0, 0, 28, 157
"c:\Users\Phil\Desktop\zazie bot\commands\economy\dep.js", "JavaScript", 117, 0, 0, 0, 2, 23, 142
"c:\Users\Phil\Desktop\zazie bot\commands\economy\dig.js", "JavaScript", 745, 0, 0, 0, 0, 100, 845
"c:\Users\Phil\Desktop\zazie bot\commands\economy\fish.js", "JavaScript", 166, 0, 0, 0, 0, 29, 195
"c:\Users\Phil\Desktop\zazie bot\commands\economy\gamble.js", "JavaScript", 168, 0, 0, 0, 0, 38, 206
"c:\Users\Phil\Desktop\zazie bot\commands\economy\give.js", "JavaScript", 107, 0, 0, 0, 25, 28, 160
"c:\Users\Phil\Desktop\zazie bot\commands\economy\guess.js", "JavaScript", 86, 0, 0, 0, 0, 13, 99
"c:\Users\Phil\Desktop\zazie bot\commands\economy\hunt.js", "JavaScript", 206, 0, 0, 0, 0, 35, 241
